BLOC,POLARITÉ,PLANÈTE_1,PLANÈTE_2,TYPE_DONNÉE,VALEUR,INTERPRÉTATION,CE_QUE_TU_RECHERCHES,COMMENT_TU_VIS_L_AMOUR,DIFFICULTÉS,MOTS_CLÉS
Partenaire,Homme,Venus,Jupiter,Aspect,Conjonction,"Tu es attiré par des femmes expansives, généreuses, optimistes. Elle doit t'ouvrir des horizons, avoir de l'ambition, une vision, un appétit de vivre. La femme idéale est ""larger than life"" — enthousiaste, inspirante, aventurière. Non intégré, tu peux idéaliser des femmes inaccessibles ou tomber pour des personnalités excessives qui promettent beaucoup mais tiennent peu. L'inflation peut mener à la déception. Intégré, tu choisis une femme qui t'élève sans te faire perdre pied — vous grandissez ensemble.",,,,
Partenaire,Homme,Venus,Jupiter,Aspect,Opposition,"Tu es attiré par des femmes expansives, généreuses, aventurières. Tu idéalises facilement — tu tombes amoureux de l'idée plus que de la réalité. Risque d'attraction pour l'inaccessible (femme lointaine, trop libre, déjà prise). Tu donnes trop, promets trop. L'excès devient problème si pas intégré.",,,,
Partenaire,Homme,Venus,Saturne,Aspect,Conjonction,"Tu es attiré par des femmes sérieuses, matures, structurées. Elle doit être fiable, responsable, avoir de la tenue. La femme idéale représente la stabilité, l'engagement, la classe. Non intégré, tu peux choisir des femmes froides, critiques, inaccessibles émotionnellement — ou des figures maternelles autoritaires qui te cadrent. L'amour peut ressembler à un devoir plus qu'à un plaisir. Intégré, tu choisis une femme solide, loyale, avec qui tu construis quelque chose de durable sans sacrifier la tendresse.",,,,
Partenaire,Homme,Venus,Uranus,Aspect,Conjonction,"Tu es attiré par des femmes originales, indépendantes, hors normes. Elle doit te surprendre, être différente, ne pas rentrer dans les cases. La femme idéale a quelque chose d'électrique, de libre, d'imprévisible. Non intégré, tu peux tomber pour des femmes instables, des rebelles qui fuient l'engagement, ou changer de partenaire dès que ça devient routinier. Intégré, tu choisis une femme libre qui choisit d'être avec toi — l'originalité cohabite avec la présence et l'engagement.",,,,
Partenaire,Homme,Venus,Neptune,Aspect,Conjonction,"Tu es attiré par des femmes mystérieuses, artistiques, éthérées. Elle doit avoir une dimension insaisissable, poétique, presque irréelle. La femme idéale touche ton âme — elle est muse, rêve, inspiration. Non intégré, tu peux idéaliser des femmes qui n'existent pas vraiment, tomber pour des personnalités fuyantes, menteuses ou addictives. Tu aimes l'image plus que la personne réelle. Intégré, tu choisis une femme sensible et inspirante, ancrée dans le réel — le rêve devient relation, pas illusion.",,,,
Partenaire,Homme,Venus,Pluton,Aspect,Conjonction,"Tu es attiré par des femmes intenses, magnétiques, transformatrices. Elle doit avoir de la profondeur, une part d'ombre, quelque chose de fascinant et d'un peu dangereux. La femme idéale te bouleverse — elle ne laisse pas indifférent. Non intégré, tu peux attirer des femmes manipulatrices, possessives, ou des dynamiques passionnelles toxiques où désir et destruction se mêlent. Intégré, tu choisis une femme puissante qui te confronte à tes profondeurs sans te détruire — l'intensité devient alchimie mutuelle.",,,,
Partenaire,Homme,Lune,Soleil,Aspect,Conjonction,"Attiré par une femme solaire, charismatique, sûre d’elle.","Une femme lumineuse, vivante, expressive.","Vit l’amour dans la fusion, idéalise la femme.","Peur de se perdre, projection parentale.",lumière; chaleur; idéalisation; fusion
Partenaire,Homme,Lune,Soleil,Aspect,Trigone,"Aime une femme simple, douce, équilibrée, rassurante.",Une femme qui apporte stabilité et confiance.,"L’amour est fluide, naturel.",Peut s’endormir dans le confort.,harmonie; douceur; stabilité; sérénité
Partenaire,Homme,Lune,Soleil,Aspect,Sextile,"Attirance pour des femmes ouvertes, positives, chaleureuses.","Une femme encourageante, joyeuse.",Vit l’amour avec enthousiasme.,Manque d’élan ou de profondeur.,chaleur; échange; motivation; légèreté
Partenaire,Homme,Lune,Soleil,Aspect,Carré,"Attiré par une femme qui le défie, le bouscule, l’oblige à se dépasser.",Une femme à la fois attirante et difficile à comprendre.,Amour vécu comme tension désir/sécurité.,"Conflits, lutte intérieure, peur du rejet.",tension; défi; dualité; passion
Partenaire,Homme,Lune,Soleil,Aspect,Opposition,"Fasciné par une femme très différente de lui : indépendante, volontaire, intense.","Une femme miroir, complémentaire.",Amour vécu comme attraction-répulsion.,"Risque d’épuisement, réactions excessives.",miroir; contraste; passion; déséquilibre
Partenaire,Homme,Lune,Mars,Aspect,Conjonction,"Attiré par une femme forte, directe, combative, qui sait ce qu’elle veut.","Une femme passionnée, active.",Amour vécu par impulsion et désir.,"Conflits, impulsivité, agressivité.",force; désir; impulsion; intensité
Partenaire,Homme,Lune,Mars,Aspect,Trigone,"Aime une femme entreprenante, courageuse, énergique.",Une femme motivante et vivante.,Amour simple et franc.,Peut manquer de profondeur émotionnelle.,élan; action; chaleur; vitalité
Partenaire,Homme,Lune,Mars,Aspect,Sextile,"Attirance pour une femme dynamique, motivante mais non agressive.",Une femme qui lui donne du courage.,Vit l’amour comme coopération.,Manque d’engagement.,motivation; initiative; complicité; énergie
Partenaire,Homme,Lune,Mars,Aspect,Carré,"Attiré par une femme explosive, passionnée mais instable.",Une femme qui le stimule et l’agace.,Amour vécu dans la tension et la jalousie.,"Conflits, impatience, impulsivité.",conflit; passion; nerfs; tension
Partenaire,Homme,Lune,Mars,Aspect,Opposition,"Fascination pour une femme dominante, puissante, incontrôlable.",Une femme qui vient révéler sa force intérieure.,Amour vécu comme un duel.,"usure, projections, rapports de force.",dominance; intensité; pouvoir; duel
Partenaire,Homme,Lune,Vénus,Aspect,Conjonction,"Attiré par une femme douce, féminine, aimante, réceptive.",Une femme tendre et harmonieuse.,Amour vécu dans le confort et la séduction.,Confusion mère/amante.,tendresse; harmonie; douceur; confusion
Partenaire,Homme,Lune,Vénus,Aspect,Trigone,"Aime une femme charmante, sociable, simple.",Une femme douce et agréable.,"Amour facile, agréable.",Manque d’intensité.,harmonie; charme; facilité; douceur
Partenaire,Homme,Lune,Vénus,Aspect,Sextile,Attirance pour une femme douce mais indépendante.,Une femme équilibre douceur et autonomie.,Amour fluide.,Légère dépendance affective.,douceur; échange; équilibre; plaisir
Partenaire,Homme,Lune,Vénus,Aspect,Carré,Attiré par des femmes attirantes mais instables ou exigeantes.,Une femme passionnante mais déroutante.,Amour vécu comme lutte entre besoin et désir.,"frustration, manque de sécurité.",tension; désir; confusion; dualité
Partenaire,Homme,Lune,Vénus,Aspect,Opposition,Fasciné par une femme séduisante mais distante.,Une femme inaccessible ou idéalisée.,Amour vécu comme attraction impossible.,déception; incompréhension; attente.,distance; idéal; frustration; projection
Partenaire,Homme,Lune,Pluton,Aspect,Conjonction,"Attiré par une femme intense, magnétique, mystérieuse.",Une femme capable de transformation profonde.,Amour vécu comme fusion karmique.,"possession, peur de l’abandon, obsession.",intensité; transformation; mystère; pouvoir
Partenaire,Homme,Lune,Pluton,Aspect,Trigone,"Aime une femme profonde, lucide, psychologique.",Une femme authentique et intense.,Amour stable mais puissant.,Peut être trop exigeant émotionnellement.,profondeur; lucidité; énergie; vérité
Partenaire,Homme,Lune,Pluton,Aspect,Sextile,Attirance pour une femme subtile mais intense.,Une femme sensible mais forte.,Amour évolutif.,Peut remuer des zones d’ombre.,subtilité; intensité; intuition; mystère
Partenaire,Homme,Lune,Pluton,Aspect,Carré,"Attiré par une femme dangereuse, complexe, transformative.",Une femme qui le percute psychiquement.,Amour vécu comme épreuve.,"dépendance, contrôle, crises.",crise; intensité; domination; karma
Partenaire,Homme,Lune,Pluton,Aspect,Opposition,Fascination pour une femme puissante mais inaccessible.,Une femme qui le force à se réinventer.,Amour polarisé.,"ruptures, conflits de pouvoir.",magnétisme; polarité; lutte; vérité
,,,,,,,,,,
Partenaire,Homme,Lune,Neptune,Aspect,Conjonction,"Attiré par une femme éthérée, sensible, artistique.",Une femme inspirante mais floue.,Amour vécu dans le rêve.,"idéalisation, flou affectif.",rêve; intuition; poésie; illusion
Partenaire,Homme,Lune,Neptune,Aspect,Trigone,"Aime une femme douce, empathique, fusionnelle.",Une femme spirituelle ou artistique.,Amour fluide et inspiré.,Peut manquer de concret.,douceur; compassion; fusion; inspiration
Partenaire,Homme,Lune,Neptune,Aspect,Sextile,Attirance pour une femme sensible et imaginative.,Une femme tendre et subtile.,Amour tendre.,Confusions légères.,sensibilité; imagination; harmonie; délicatesse
Partenaire,Homme,Lune,Neptune,Aspect,Carré,"Tendance à aimer des femmes fuyantes, idéalisées, “à sauver”.",Une femme stable et simple.,Amour vécu dans la déception.,"illusion, fuite, dépendance.",illusion; confusion; dépendance; flou
Partenaire,Homme,Lune,Neptune,Aspect,Opposition,"Fascination pour une femme insaisissable, mystique, irrégulière.",Une femme qui dévoile sa vérité peu à peu.,Amour vécu dans l’attente.,"déception, invisibilité, mensonge involontaire.",brume; mystère; idéal; projection
Partenaire,Homme,Lune,Mercure,Aspect,Conjonction,"Attiré par une femme intelligente, vive, communicante.",Une femme curieuse et cérébrale.,Amour vécu par le dialogue.,mentalisation excessive.,communication; esprit; échange; réflexion
Partenaire,Homme,Lune,Mercure,Aspect,Trigone,"Aime une femme claire, simple, sociable.",Une femme accessible intellectuellement.,Amour fluide.,manque de profondeur.,clarté; complicité; légèreté; douceur
Partenaire,Homme,Lune,Mercure,Aspect,Sextile,Attirance pour une femme équilibrée et bavarde juste ce qu’il faut.,Une femme qui ouvre son esprit.,Amour stimulant.,sur-analyse.,complicité; dialogue; vivacité; curiosité
Partenaire,Homme,Lune,Mercure,Aspect,Carré,"Attiré par une femme contradictoire, nerveuse, instable.",Une femme stimulante mais fatigante.,Amour vécu comme débat constant.,"quiproquos, disputes, manque d’écoute.",tension; mental; agitation; nervosité
Partenaire,Homme,Lune,Mercure,Aspect,Opposition,Fascination pour une femme brillante mais insaisissable mentalement.,Une femme vive et complexe.,Amour vécu comme polarité esprit/émotion.,"confusion, incompréhension.",contraste; esprit; agitation; dualité
Partenaire,Homme,Lune,Saturne,Aspect,Conjonction,"Attiré par une femme sérieuse, stable, structurée.","Une femme fiable, posée, mature.",Amour vécu comme engagement profond.,"froideur, distance, peur du rejet.",maturité; sérieux; engagement; prudence
Partenaire,Homme,Lune,Saturne,Aspect,Trigone,"Aime une femme responsable, calme, solide.",Une femme stable et loyale.,Amour construit sur le long terme.,Manque de spontanéité.,solidité; fiabilité; patience; stabilité
Partenaire,Homme,Lune,Saturne,Aspect,Sextile,"Attirance pour une femme raisonnable, calme et posée.",Une femme qui rassure.,"Amour posé, sécurisant.","lenteur, rigidité.",sécurité; structure; prudence; constance
Partenaire,Homme,Lune,Saturne,Aspect,Carré,"Attiré par une femme distante, exigeante, difficile à atteindre.",Une femme qu’il doit “mériter”.,Amour vécu comme épreuve affective.,"frustration, retenue, peur d’être insuffisant.",froideur; défi; frustration; inhibition
Partenaire,Homme,Lune,Saturne,Aspect,Opposition,"Fascination pour une femme froide, indépendante, distante.",Une femme autonome.,Amour vécu comme distance émotionnelle.,"sentiment de rejet, solitude.",distance; solitude; exigence; maturité
Partenaire,Homme,Lune,Uranus,Aspect,Conjonction,"Attiré par une femme libre, indépendante, atypique.",Une femme imprévisible et brillante.,Amour vécu comme liberté totale.,"instabilité, ruptures soudaines.",liberté; nouveauté; indépendance; imprévu
Partenaire,Homme,Lune,Uranus,Aspect,Trigone,"Aime une femme originale, éveillée, moderne.",Une femme stimulante intellectuellement.,Amour fluide et surprenant.,manque d’ancrage.,originalité; légèreté; inspiration; nouveauté
Partenaire,Homme,Lune,Uranus,Aspect,Sextile,Attirance pour une femme autonome et ouverte.,Une femme dynamique.,Amour stimulant.,difficulté à construire.,indépendance; mouvement; fraicheur; éveil
Partenaire,Homme,Lune,Uranus,Aspect,Carré,"Attiré par une femme instable, changeante, électrique.",Une femme fascinante mais chaotique.,Amour vécu comme montagnes russes.,"soudaineté, rupture, imprévisibilité.",tension; chaos; feu; impulsion
Partenaire,Homme,Lune,Uranus,Aspect,Opposition,"Fascination pour une femme insaisissable, indépendante, déroutante.","Une femme libre, difficile à retenir.",Amour vécu comme alternance passion/distance.,"froid, détachement, imprévu.",éclair; rupture; liberté; distance
Style,"Femme, Homme",Junon,Soleil,Aspect,Conjonction,"Union solaire : admiration, fierté mutuelle, envie de construire ensemble. Le couple devient visible, lumineux. Le mariage ou le partenariat est central à son objectif de vie. Elle a besoin d'une relation pour vraiment ""briller"".",Un lien où chacun valorise l’autre.,Vit l’union comme une reconnaissance mutuelle.,Risque de rapport de pouvoir ou de compétition d’ego.,admiration; visibilité; rayonnement; fierté
Style,"Femme, Homme",Junon,Lune,Aspect,Conjonction,"Union émotionnelle, sécurisante. L’amour devient cocon. Partenaire doux, protecteur, fidèle. Le partenaire doit aussi être une figure nourricière (presque maternelle/parentale). Il y a un besoin immense de vivre sous le même toit et de créer un foyer. La connexion est intuitive et sensible ; l'humeur de la personne dépend souvent de l'état de sa relation.","Un lien rassurant, nourrissant, où l’affect est central.",Vit l’amour dans la tendresse et la complicité du quotidien.,Peut se replier dans la dépendance affective.,tendresse; sécurité; loyauté; famille
Style,"Femme, Homme",Junon,Vénus,Aspect,Conjonction,"Union de beauté, de plaisir et d’équilibre. L’amour devient art de vivre.La personne cherche l'harmonie, la beauté et le romantisme dans le contrat de mariage. Elle a besoin d'un partenaire qu'elle trouve beau (physiquement ou intérieurement) et charmant. Risque de confusion entre ""tomber amoureux"" et ""s'engager à long terme"".","Un lien fluide, doux, basé sur la réciprocité et l’harmonie.",Vit l’amour avec sensualité et douceur.,Risque de complaisance ou de peur du conflit.,harmonie; douceur; sensualité; beauté
Style,"Femme, Homme",Junon,Mars,Aspect,Conjonction,"Union passionnée, charnelle, active. Attirance puissante, intensité dans le couple.La relation a besoin d'action. Les partenaires font des choses ensemble (sport, projets, travail). Il peut y avoir une tendance aux disputes ou à la compétition au sein du couple, mais la passion est le ciment qui les unit. Le partenaire idéal est perçu comme fort, direct et protecteur.","Une relation vibrante, vivante, stimulante.",Vit l’union à travers la sexualité et la passion.,"Risque de rivalité, domination, conflits.",passion; désir; intensité; action
Style,"Femme, Homme",Junon,Chiron,Aspect,Conjonction,"L’union guérit. Relation thérapeutique où les blessures s’apaisent par l’amour. On peut être attiré par des partenaires blessés que l'on veut ""sauver"", ou bien le partenaire agit comme un mentor/guérisseur. La relation fait remonter de vieilles douleurs pour qu'elles soient traitées. Il y a une grande sagesse acquise à travers les épreuves du couple.",Un lien d’âme bienveillant et réparateur.,"Vit l’amour avec profondeur, dans la vulnérabilité partagée.",Risque de rester coincé(e) dans le rôle de “sauveur”.,guérison; blessure; empathie; karma
Style,"Femme, Homme",Junon,Nœud Nord,Aspect,Conjonction,"Union karmique majeure. Le partenaire est un guide d’évolution. Rencontrer le partenaire ""clé"" semble prédestiné. Le mariage ou l'association aide la personne à grandir vers sa meilleure version. Souvent, le partenaire incarne les qualités que la personne doit elle-même développer. C'est un indicateur fort de relations importantes ""écrites"" d'avance.","Une relation d’âme, spirituelle et transformatrice.",Vit l’union comme une mission ou un passage de vie.,Peut craindre la perte ou la dépendance.,destin; évolution; âme; apprentissage
Style,"Femme, Homme",Junon,Jupiter,Aspect,Conjonction,"Union expansive et optimiste, marquée par la chance. C'est un contrat basé sur la croissance mutuelle et la liberté d'action. La personne est attirée par des partenaires qu'elle admire : mentors, figures sociales ou personnes d'origine étrangère. La relation repose sur une vision du monde commune, l'aventure et la confiance. Peut indiquer un mariage prestigieux ou légalisé, mais attention aux excès, à l'infidélité ou aux promesses non tenues.",,,,
Style,"Femme, Homme",Junon,Neptune,Aspect,Conjonction,"Illusion amoureuse, idéalisation du couple. Risque de fuite ou de déception. Tendance à idéaliser le partenaire ou à se sacrifier pour lui. La connexion est télépathique et spirituelle. Le danger est l'illusion : ne pas voir le conjoint tel qu'il est réellement, ou attirer des partenaires insaisissables, artistes, ou dépendants qui ont besoin d'être sauvés.","Un lien inspirant, mais à ancrer dans la réalité.",Vit l’amour comme un rêve ou une foi.,Risque de se sacrifier ou de s’égarer.,illusion; foi; rêve; désillusion
Style,"Femme, Homme",Junon,Saturne,Aspect,Conjonction,"Union sérieuse mais lourde, avec blocages ou peur de l’abandon.C'est un contrat sérieux, mais solide comme le roc. La personne prend son temps avant de s'engager. Elle peut être attirée par des partenaires plus âgés, plus matures ou très ambitieux. La relation est basée sur le devoir, la responsabilité et la loyauté absolue. Peut indiquer un mariage tardif mais qui dure toute la vie.",Un partenaire fiable mais exigeant.,Vit l’amour comme un devoir ou une épreuve.,"Risque de rigidité émotionnelle, solitude dans le lien.",responsabilité; contrôle; distance; endurance
Style,"Femme, Homme",Junon,Uranus,Aspect,Conjonction,"Attirance pour des unions atypiques ou instables. Besoin de liberté et d’espace.Le mariage classique ne fonctionne généralement pas ici. On cherche un partenaire original, rebelle ou différent (culture, âge, milieu). Les arrangements peuvent être atypiques (vivre séparément, union libre, relation ouverte). L'amitié et l'indépendance sont plus importantes que la fusion.","Une relation hors norme, vivante mais imprévisible.",Vit l’amour comme un mouvement perpétuel.,Difficulté à s’ancrer ou à s’engager pleinement.,liberté; rupture; imprévisibilité; indépendance
Style,"Femme, Homme",Junon,Pluton,Aspect,Conjonction,"L’union devient transformation : passion, contrôle, intensité. La relation est le lieu de transformations radicales. Il peut y avoir des thèmes de pouvoir, de jalousie, de possession, mais aussi une loyauté inébranlable et une passion dévorante. Le couple traverse des crises pour renaître plus fort. Rien n'est superficiel.","Un lien où l’amour fait grandir, même dans la douleur.",Vit l’union comme une renaissance.,Peut attirer la manipulation ou la peur de perdre.,transformation; pouvoir; intensité; renaissance
Partenaire,"Femme, Homme",maitre_maison_5,Soleil,Aspect,Conjonction,"Ton expression amoureuse et ton identité sont liées. Tu cherches à briller à travers tes amours, à te sentir vivant et valorisé dans la séduction. Tu as besoin que tes relations reflètent qui tu es profondément. Le plaisir amoureux nourrit ton estime de toi.",,,,
Partenaire,"Femme, Homme",maitre_maison_5,Lune,Aspect,Conjonction,"Tes premières attirances sont guidées par tes besoins émotionnels. Tu es attiré par des personnes qui te sécurisent, qui te font sentir chez toi. Tu cherches une connexion émotionnelle profonde dès le début. Ton humeur influence fortement ta capacité à séduire et à t'ouvrir.",,,,
Partenaire,"Femme, Homme",maitre_maison_5,Mercure,Aspect,Conjonction,"Tu séduis par l'esprit et les mots. La communication est au cœur de tes premières attirances. Tu es attiré par l'intelligence, l'humour, la curiosité. Tu as besoin d'échanger, de parler, de créer une complicité intellectuelle avant tout le reste.",,,,
Partenaire,"Femme, Homme",maitre_maison_5,Vénus,Aspect,Conjonction,"Double dose de charme et de douceur. Tu es naturellement séduisant, tu sais créer une atmosphère harmonieuse, mettre l'autre à l'aise. L'esthétique, la beauté, les plaisirs sensuels sont au cœur de ta manière d'aimer. Tu attires facilement.",,,,
Partenaire,"Femme, Homme",maitre_maison_5,Mars,Aspect,Conjonction,"Tes attirances sont passionnelles, directes, physiques. Tu séduis par ton énergie, ta spontanéité, ton audace. Tu veux de l'action, du désir immédiat, de la conquête. Tu t'ennuies vite si ça manque de feu. Tu fonces sans trop réfléchir.",,,,
Partenaire,"Femme, Homme",maitre_maison_5,Jupiter,Aspect,Conjonction,"Tu abordes l'amour avec optimisme et générosité. Tu séduis par ta joie de vivre, ton enthousiasme contagieux. Tu es attiré par des personnes qui élargissent tes horizons. Tu veux de l'aventure, de la liberté, de la croissance. Tu idéalises facilement.",,,,
Partenaire,"Femme, Homme",maitre_maison_5,Saturne,Aspect,Conjonction,"Tes premières attirances sont marquées par la retenue, la prudence. Tu as du mal à te lâcher, à te montrer spontané. Tu prends l'amour au sérieux, peut-être trop. Tu es attiré par la maturité, la stabilité, mais tu peux te bloquer par peur du rejet ou sentiment d'indignité.",,,,
Partenaire,"Femme, Homme",maitre_maison_5,Uranus,Aspect,Conjonction,"Tes attirances sont imprévisibles, électriques. Tu es attiré par l'originalité, la différence, ce qui sort des normes. Tu veux de la liberté, de la surprise, de l'indépendance. Les relations conventionnelles t'ennuient. Tu peux avoir des coups de foudre soudains.",,,,
Partenaire,"Femme, Homme",maitre_maison_5,Neptune,Aspect,Conjonction,"Tes attirances sont teintées de rêve et d'idéalisation. Tu es attiré par la sensibilité, l'art, la spiritualité. Tu cherches une connexion mystique, une fusion douce. Mais tu risques de tomber amoureux de ton fantasme plutôt que de la réalité. Tu te perds facilement.",,,,
Partenaire,"Femme, Homme",maitre_maison_5,Pluton,Aspect,Conjonction,"Tes attirances sont intenses, magnétiques, obsessionnelles. Tu es attiré par le mystère, la profondeur, la puissance. Tu veux fusionner totalement, posséder et être possédé. Tes premières attirances réveillent tes zones d'ombre. C'est tout ou rien dès le début.",,,,
Partenaire,"Femme, Homme",maitre_maison_5,Lune Noire,Aspect,Conjonction,"Tes attirances touchent à tes blessures profondes. Tu es attiré par ce qui te met en danger, par l'interdit, par ce qui réveille ta part sauvage. Tu peux vivre des attirances transgressives, taboues. Tu explores tes zones d'ombre à travers le plaisir et la séduction.",,,,
Partenaire,"Femme, Homme",maitre_maison_5,Chiron,Aspect,Conjonction,Tes premières attirances réveillent tes blessures affectives. Tu es attiré par ce qui te fait souffrir ou par des personnes blessées que tu veux guérir. Le plaisir amoureux est mêlé de douleur. Tu dois apprendre à t'autoriser la légèreté et la joie sans culpabilité.,,,,
Partenaire,"Femme, Homme",maitre_maison_5,Nœud Sud,Aspect,Conjonction,"Tes attirances répètent des schémas passés. Tu es attiré par ce qui est familier, confortable, même si ça ne te fait pas grandir. Tu dois dépasser ces patterns pour évoluer. Tes premières attirances te ramènent à ce que tu connais déjà trop bien.",,,,
Partenaire,"Femme, Homme",maitre_maison_5,Nœud Nord,Aspect,Conjonction,"Tes attirances te poussent vers ton évolution. Tu es attiré par ce qui te fait grandir, même si c'est inconfortable. Tes relations amoureuses sont un chemin d'apprentissage. Tu dois oser explorer des territoires relationnels nouveaux pour toi.",,,,
Partenaire,"Femme, Homme",maitre_maison_5,Soleil,Aspect,Carré,"Conflit entre ton besoin de briller et ta spontanéité amoureuse. Tu as du mal à te lâcher en amour sans perdre ton ego. Tes premières attirances peuvent menacer ton identité ou au contraire, tu écrases l'autre par besoin de dominer. Tensions entre plaisir et fierté.",,,,
Partenaire,"Femme, Homme",maitre_maison_5,Soleil,Aspect,Opposition,"Tu projettes ton besoin de briller sur l'autre. Tu es attiré par des personnes qui incarnent ce que tu veux être. Tes attirances sont des miroirs de ton identité. Tu cherches à te compléter à travers l'autre, mais cette quête crée des déséquilibres.",,,,
Partenaire,"Femme, Homme",maitre_maison_5,Lune,Aspect,Carré,"Tes besoins émotionnels entravent ta spontanéité amoureuse. Tu veux te lâcher mais tu as peur, tu veux séduire mais tu te retiens. Tes humeurs bloquent ton expression créative et amoureuse. Il y a un conflit entre sécurité et plaisir, entre prudence et spontanéité.",,,,
Partenaire,"Femme, Homme",maitre_maison_5,Lune,Aspect,Opposition,Tu cherches dans tes attirances ce qui te manque émotionnellement. Tu es attiré par des personnes qui incarnent ta sécurité perdue. Tes premières relations rejouent tes besoins d'enfance. Tu projettes ton besoin de maternage ou tu materne l'autre.,,,,
Partenaire,"Femme, Homme",maitre_maison_5,Mercure,Aspect,Carré,"Tu penses trop avant d'agir en amour. Ta tête bloque ton cœur. Tu analyses tes attirances au lieu de les vivre. Tu as du mal à lâcher le mental pour te laisser aller au plaisir. Communication compliquée dans la séduction — tu dis une chose, tu ressens autre chose.",,,,
Partenaire,"Femme, Homme",maitre_maison_5,Mercure,Aspect,Opposition,"Tu es attiré par des personnes qui pensent différemment de toi. Tes attirances créent des débats, des confrontations intellectuelles. Tu cherches un miroir mental, quelqu'un qui te challenge. Mais cette opposition peut créer des incompréhensions constantes.",,,,
Partenaire,"Femme, Homme",maitre_maison_5,Vénus,Aspect,Carré,Conflit entre ce que tu veux et comment tu l'exprimes. Tu es attiré mais tu as du mal à séduire naturellement. Tes valeurs affectives et ton expression amoureuse ne s'accordent pas. Tu veux plaire mais tu t'y prends mal. Maladresse dans la séduction.,,,,
Partenaire,"Femme, Homme",maitre_maison_5,Vénus,Aspect,Opposition,"Tu es attiré par des personnes qui incarnent ce que tu n'es pas en amour. Tu cherches ton complément affectif. Si tu es passionné, tu veux la douceur ; si tu es doux, tu veux la passion. Mais cette complémentarité crée des frustrations.",,,,
Partenaire,"Femme, Homme",maitre_maison_5,Mars,Aspect,Carré,"Tes attirances sont impulsives et conflictuelles. Tu veux trop vite, trop fort. Tu provoques des tensions dans la séduction. Ton désir crée des frictions. Tu peux être trop direct, trop agressif, ou à l'inverse, frustré et bloqué dans ton élan. Colère et passion se mêlent.",,,,
Partenaire,"Femme, Homme",maitre_maison_5,Mars,Aspect,Opposition,"Tes attirances créent des conflits immédiats. Tu es attiré par des personnes qui te résistent, qui te défient. Le désir passe par la confrontation. Tu veux conquérir ce qui te repousse. Tes premières relations sont des champs de bataille autant que de passion.",,,,
Partenaire,"Femme, Homme",maitre_maison_5,Jupiter,Aspect,Carré,"Tu en fais trop en amour. Tu exagères dans la séduction, tu promets plus que tu ne peux tenir. Tes attirances sont démesurées, idéalisées. Tu manques de mesure dans l'expression de ton plaisir. Tu peux aussi fuir l'engagement par soif de liberté excessive.",,,,
Partenaire,"Femme, Homme",maitre_maison_5,Jupiter,Aspect,Opposition,"Tu es attiré par des personnes qui représentent l'aventure, l'ailleurs, l'expansion. Mais cette projection crée des attentes irréalistes. Tu idéalises l'autre comme un sauveur, un guide. Tu cherches à travers tes attirances une liberté que tu ne t'accordes pas toi-même.",,,,
Partenaire,"Femme, Homme",maitre_maison_5,Saturne,Aspect,Carré,"Tes attirances sont bloquées par la peur, le jugement, la retenue. Tu ne t'autorises pas à prendre du plaisir, à séduire librement. Tu te sens indigne, pas assez bien. Tu es attiré par des personnes froides ou inaccessibles. La légèreté amoureuse te fait peur.",,,,
Partenaire,"Femme, Homme",maitre_maison_5,Saturne,Aspect,Opposition,"Tu es attiré par la maturité, la structure, la stabilité chez l'autre. Mais cette attraction cache souvent une recherche de figure parentale. Tes premières relations peuvent être déséquilibrées : l'un mature, l'autre enfant. Tu projettes ton besoin de cadre sur l'autre.",,,,
Partenaire,"Femme, Homme",maitre_maison_5,Uranus,Aspect,Carré,"Tes attirances sont chaotiques, instables. Tu veux et tu ne veux pas en même temps. Tu es attiré puis tu fuis. Tu sabotes ce qui commence à devenir sérieux. Tes premières attirances sont marquées par l'imprévisibilité, les ruptures soudaines, l'incapacité à te poser.",,,,
Partenaire,"Femme, Homme",maitre_maison_5,Uranus,Aspect,Opposition,"Tu es attiré par la liberté, l'originalité chez l'autre. Mais cette projection crée des relations instables. Tu veux quelqu'un qui incarne l'indépendance que tu ne t'autorises pas. Tes attirances sont électriques mais fugaces. Tu fuis ou l'autre fuit.",,,,
Partenaire,"Femme, Homme",maitre_maison_5,Neptune,Aspect,Carré,"Tes attirances sont floues, confuses. Tu idéalises au point de ne pas voir la réalité. Tu es attiré par l'illusion, par des personnes indisponibles. Tu te perds dans tes fantasmes. Le plaisir amoureux est mêlé de déception. Tu te sacrifies ou tu te mens.",,,,
Partenaire,"Femme, Homme",maitre_maison_5,Neptune,Aspect,Opposition,"Tu es attiré par des personnes qui incarnent ton idéal romantique. Mais tu tombes amoureux de l'image, pas de la réalité. Tes attirances sont des projections de tes rêves. L'autre devient ton fantasme. Déception inévitable quand la réalité se révèle.",,,,
Partenaire,"Femme, Homme",maitre_maison_5,Pluton,Aspect,Carré,"Tes attirances réveillent tes démons. Tu es attiré par ce qui te détruit, par le pouvoir, la manipulation. Tes premières relations sont toxiques, obsessionnelles. Tu veux contrôler ou tu te fais contrôler. Le plaisir est mêlé de douleur. Jalousie, possessivité, crises.",,,,
